[1127 1154]
[1427 1474]
[1753 1782]
[2074 2103]
[2409 2473]
[2703 2774]
[3014 3086]
[3331 3393]
[3660 3741]
[3954 4039]
[4288 4374]
[4623 4707]
[4984 5047]
[5283 5353]
[5598 5673]
[5919 5986]
[6271 6358]
[6579 6654]
[6888 6963]
[7202 7278]
[7523 7560]
[7844 7896]
[8188 8227]
[8522 8561]
[8842 8892]
[9139 9175]
[9471 9519]
[9799 9842]
[10117 10192]
[10457 10536]
[10781 10864]
[11104 11192]
[11567 11629]
[11929 12005]
[12292 12373]
[12656 12726]
[13058 13126]
[13365 13434]
[13708 13783]
[14044 14115]
