[1404 1475]
[1765 1832]
[2249 2312]
[2640 2707]
[3057 3122]
[3427 3498]
[3864 3933]
[4309 4381]
[4751 4850]
[5147 5246]
[5546 5644]
[5956 6048]
[6338 6409]
[6683 6750]
[7035 7102]
[7380 7453]
[7734 7821]
[8112 8196]
[8485 8577]
[8863 8949]
[9267 9320]
[9621 9677]
[ 9994 10050]
[10370 10422]
[10783 10834]
[11132 11212]
[11487 11547]
[11867 11928]
[12254 12351]
[12640 12733]
[13056 13150]
[13465 13561]
[13841 13925]
[14321 14402]
[14766 14848]
[15195 15272]
[15598 15676]
[15999 16079]
[16393 16471]
[16798 16899]
